Date,Time,Day of Week,Category,Details,Location,Press Pool,Daily Summary,Factba.se URL,,
2/19/2026,16:10:00,Thursday,Pool Report Schedule,"The President arrives at Coosa Steel in Rome, Georgia","Coosa Steel Corporation, Rome, GA",,,,,
2/19/2026,17:50:00,Thursday,Pool Report Schedule,"The President departs Coosa Steel in Rome, Georgia for Richard B. Russell Airport","Coosa Steel Corporation, Rome, GA",,,,,
2/19/2026,18:09:00,Thursday,Pool Report Schedule,"The President arrives at Richard B. Russell Airport in Rome, Georgia","Richard B. Russell Airport, Rome, GA",,,,,
2/19/2026,18:26:00,Thursday,Pool Report Schedule,"The President departs Rome, Georgia for Joint Base Andrews","Richard B. Russell Airport, Rome, GA",,,,,
2/19/2026,19:36:00,Thursday,Pool Report Schedule,The President arrives at Joint Base Andrews,Joint Base Andrews,,,,,
2/19/2026,19:56:00,Thursday,Pool Report Schedule,The President departs Joint Base Andrews for the White House,Joint Base Andrews,,,,,
2/19/2026,20:15:00,Thursday,Pool Report Schedule,The President arrives at the White House,The White House,,,,,
2/19/2026,20:17:00,Thursday,Pool Report Schedule,White House Press Office: Full lid called,The White House,,,,,
2/18/2026,11:06:00,Wednesday,Pool Report Schedule,White House Press Office: Lunch lid until 12:00 PM,The White House,Out-of-Town Travel Pool,,,,
2/18/2026,13:00:00,Wednesday,Briefing Schedule,Press Briefing by the White House Press Secretary Karoline Leavitt,James S. Brady Press Briefing Room,On Camera,,https://rollcall.com/factbase/trump/transcript/donald-trump-press-briefing-karoline-leavitt-the-white-house-february-18-2026/,,
2/18/2026,15:00:00,Wednesday,President Schedule,The President participates in a Black History Month Reception,East Room,Pre-Credentialed Media,,https://rollcall.com/factbase/trump/transcript/donald-trump-remarks-black-history-month-reception-february-18-2026/,,
2/18/2026,16:00:00,Wednesday,President Schedule,The President participates in Signing Time,Oval Office,Closed Press,,,,
2/18/2026,16:30:00,Wednesday,President Schedule,The President participates in a Policy Meeting,Oval Office,Closed Press,,,,
