Date,Time,Day of Week,Category,Details,Location,Press Pool,Daily Summary,Factba.se URL,,
2/1/2026,15:45:00,Sunday,Pool Report Schedule,The President departs Mar-a-Lago for Palm Beach International Airport,Mar-a-Lago,Out-of-Town Travel Pool,,https://rollcall.com/factbase/trump/transcript/donald-trump-press-gaggle-mar-a-lago-february-1-2026/,,
2/1/2026,15:52:00,Sunday,Pool Report Schedule,The President arrives at Palm Beach International Airport,Palm Beach International Airport,Out-of-Town Travel Pool,,https://rollcall.com/factbase/trump/transcript/donald-trump-press-gaggle-mar-a-lago-february-1-2026/,,
2/1/2026,16:09:00,Sunday,Pool Report Schedule,The President departs Palm Beach International Airport for Joint Base Andrews,Palm Beach International Airport,Out-of-Town Travel Pool,,https://rollcall.com/factbase/trump/transcript/donald-trump-press-gaggle-mar-a-lago-february-1-2026/,,
2/1/2026,17:55:00,Sunday,Pool Report Schedule,The President arrives at Joint Base Andrews,Joint Base Andrews,Out-of-Town Travel Pool,,https://rollcall.com/factbase/trump/transcript/donald-trump-press-gaggle-mar-a-lago-february-1-2026/,,
1/31/2026,,Saturday,President Schedule,"TBD: The President departs The White House en route Palm Beach, Florida",The White House,Out-of-Town Travel Pool,,,Array,
1/31/2026,18:46:00,Saturday,Pool Report Schedule,The President departs the White House for the Washington Hilton,The White House,In-Town Pool,,,,
1/31/2026,18:51:00,Saturday,Pool Report Schedule,The President arrives at the Washington Hilton,The White House,In-Town Pool,,,,
1/31/2026,19:00:00,Saturday,President Schedule,The President attends the Alfalfa Club Dinner,Washington Hilton,Out-of-Town Travel Pool,,,,
1/31/2026,20:16:00,Saturday,Pool Report Schedule,The President departs the Washington Hilton for Joint Base Andrews,The White House,In-Town Pool,,,,
1/31/2026,20:41:00,Saturday,Pool Report Schedule,The President arrives at Joint Base Andrews,Joint Base Andrews,In-Town Pool,,,,
1/31/2026,20:54:00,Saturday,Pool Report Schedule,The President departs Joint Base Andrews for Palm Beach International Airport,Joint Base Andrews,Out-of-Town Travel Pool,,https://rollcall.com/factbase/trump/transcript/donald-trump-press-gaggle-air-force-one-january-31-2026/,,
1/31/2026,22:53:00,Saturday,Pool Report Schedule,The President arrives at Palm Beach International Airport,Palm Beach International Airport,Out-of-Town Travel Pool,,https://rollcall.com/factbase/trump/transcript/donald-trump-press-gaggle-air-force-one-january-31-2026/,,
1/31/2026,23:10:00,Saturday,Pool Report Schedule,The President departs Palm Beach International Airport for Mar-a-Lago,Palm Beach International Airport,Out-of-Town Travel Pool,,https://rollcall.com/factbase/trump/transcript/donald-trump-press-gaggle-air-force-one-january-31-2026/,,
1/31/2026,23:16:00,Saturday,Pool Report Schedule,The President arrives at Mar-a-Lago,Mar-a-Lago,Out-of-Town Travel Pool,,https://rollcall.com/factbase/trump/transcript/donald-trump-press-gaggle-air-force-one-january-31-2026/,,
1/31/2026,23:16:01,Saturday,Pool Report Schedule,White House Press Office: Full lid called,Mar-a-Lago,Out-of-Town Travel Pool,,,,
1/30/2026,11:00:00,Friday,President Schedule,The President signs Executive Orders,Oval Office,Closed Press,,https://rollcall.com/factbase/trump/transcript/donald-trump-remarks-executive-orders-january-30-2026/,,
1/30/2026,14:00:00,Friday,President Schedule,The President participates in a Policy Meeting,Oval Office,Out-of-Town Travel Pool,,,,
1/30/2026,18:00:00,Friday,Pool Report Schedule,White House Press Office: Full lid called,The White House,Pre-Credentialed Media,,,,
1/29/2026,10:00:00,Thursday,President Schedule,The President receives his Intelligence Briefing,Oval Office,Closed Press,,,,
1/29/2026,11:00:00,Thursday,President Schedule,The President participates in a Cabinet Meeting,Cabinet Room,White House Press Pool,,https://rollcall.com/factbase/trump/transcript/donald-trump-remarks-cabinet-meeting-january-29-2026/,,
1/29/2026,13:22:00,Thursday,Pool Report Schedule,White House Press Office: Lunch lid until 2:20 PM ,The White House,Pre-Credentialed Media,,,,
1/29/2026,16:30:00,Thursday,President Schedule,The President makes an Announcement,Oval Office,White House Press Pool,,https://rollcall.com/factbase/trump/transcript/donald-trump-remarks-drug-addiction-prevention-white-house-january-29-2026/,,
1/29/2026,18:52:00,Thursday,Pool Report Schedule,The President and the First Lady depart the White House for the Kennedy Center,The White House,Pre-Credentialed Media,,,,
1/29/2026,18:59:00,Thursday,Pool Report Schedule,The President and the First Lady arrive at the Kennedy Center,John F. Kennedy Center for the Performing Arts,Pre-Credentialed Media,,,,
1/29/2026,19:00:00,Thursday,President Schedule,The President and The First Lady attend a Screening of the Film Melania,John F. Kennedy Center for the Performing Arts,Pre-Credentialed Media,,https://rollcall.com/factbase/trump/transcript/donald-trump-press-gaggle-red-carpet-melania-premiere-january-29-2026/,,
1/29/2026,22:44:00,Thursday,Pool Report Schedule,The President departs the Kennedy Center for the White House,John F. Kennedy Center for the Performing Arts,Pre-Credentialed Media,,,,
1/29/2026,22:51:00,Thursday,Pool Report Schedule,The President arrives at the White House,The White House,Pre-Credentialed Media,,,,
1/29/2026,22:53:00,Thursday,Pool Report Schedule,White House Press Office: Full lid called,The White House,Pre-Credentialed Media,,,,
1/28/2026,10:50:00,Wednesday,Pool Report Schedule,The President departs the White House for the Andrew W. Mellon Auditorium,The White House,Pre-Credentialed Media,,,,
1/28/2026,10:54:00,Wednesday,Pool Report Schedule,The President arrives at the Andrew W. Mellon Auditorium,Andrew W. Mellon Auditorium,Pre-Credentialed Media,,,,
1/28/2026,11:00:00,Wednesday,President Schedule,The President delivers remarks on Trump Accounts,Andrew W. Mellon Auditorium,Pre-Credentialed Media,,https://rollcall.com/factbase/trump/transcript/donald-trump-remarks-trump-accounts-washington-january-28-2026/,,
1/28/2026,12:01:00,Wednesday,Pool Report Schedule,The President departs the Andrew W. Mellon Auditorium for the White House,Andrew W. Mellon Auditorium,Pre-Credentialed Media,,,,
1/28/2026,12:04:00,Wednesday,Pool Report Schedule,The President arrives at the White House,The White House,Pre-Credentialed Media,,,,
1/28/2026,12:30:00,Wednesday,Pool Report Schedule,White House Press Office: Lunch lid until 1:30 PM ,The White House,Pre-Credentialed Media,,,,
1/28/2026,15:00:00,Wednesday,President Schedule,The President participates in a greeting with Auto Workers,Oval Office,Closed Press,,,,
1/28/2026,17:00:00,Wednesday,President Schedule,The President participates in a Policy Meeting,Oval Office,Closed Press,,,,
1/28/2026,18:00:00,Wednesday,Pool Report Schedule,White House Press Office: Full lid called,The White House,In-Town Pool,,,,
1/27/2026,,Tuesday,President Schedule,"TBD: The President departs The White House en route Clive, Iowa ",The White House,Pre-Credentialed Media,,,Array,
1/27/2026,,Tuesday,President Schedule,TBD: The President arrives The White House ,The White House,Pre-Credentialed Media,,,,
1/27/2026,8:30:00,Tuesday,Pool Report Schedule,The President joins Sid Rosenberg on the 10th Anniversay Sid and Friends on WABC Radio,The White House,In-Town Pool,,https://rollcall.com/factbase/trump/transcript/donald-trump-interview-sid-rosenberg-wabc-radio-january-27-2026/,,
1/27/2026,12:16:00,Tuesday,Pool Report Schedule,The President departs The White House for Joint Base Andrews,South Lawn,In-Town Pool,,https://rollcall.com/factbase/trump/transcript/donald-trump-press-gaggle-before-marine-one-departure-january-27-2026/,,
1/27/2026,12:27:00,Tuesday,Pool Report Schedule,The President arrives at Joint Base Andrews,Joint Base Andrews,In-Town Pool,,,,
1/27/2026,12:39:00,Tuesday,Pool Report Schedule,The President departs Joint Base Andrews for Des Moines International Airport,Joint Base Andrews,In-Town Pool,,,,
1/27/2026,14:49:00,Tuesday,Pool Report Schedule,The President arrives at Des Moines International Airport [Local: 1:51 PM],Des Moines International Airport,In-Town Pool,,,,
1/27/2026,15:05:00,Tuesday,Pool Report Schedule,The President departs Des Moines International Airport for the Horizon Events Center [Local: 2:05 PM],Des Moines International Airport,In-Town Pool,,,,
1/27/2026,15:25:00,Tuesday,Pool Report Schedule,"The President makes an previously-unannounced stop at the Machine Shed Restaurant in Urbandale, IA [Local: 2:25 PM]","Machine Shed Restaurant, Urbandale, IA",In-Town Pool,,https://rollcall.com/factbase/trump/transcript/donald-trump-remarks-restaurant-stop-urbandale-iowa-january-27-2026/,,
1/27/2026,16:00:00,Tuesday,President Schedule,The President delivers Remarks [Local: 3:00 PM] [Note: Speech started 85 minutes late],"Horizon Events Center, Clive, IA",Pre-Credentialed Media,,https://rollcall.com/factbase/trump/transcript/donald-trump-speech-economy-energy-clive-iowa-january-27-2026/,,
1/27/2026,16:15:00,Tuesday,Pool Report Schedule,The President stands for an interview with Will Cain on Fox News' 'The Will Cain Show' in Iowa [Local: 3:15 PM],"Machine Shed Restaurant, Urbandale, IA",In-Town Pool,,https://rollcall.com/factbase/trump/transcript/donald-trump-interview-will-cain-fox-news-iowa-january-27-2026/,,
1/27/2026,17:01:00,Tuesday,Pool Report Schedule,The President departs the Machine Shed Restaurant for the Horizon Events Center [Local: 4:01 PM],"Machine Shed Restaurant, Urbandale, IA",In-Town Pool,,,,
1/27/2026,17:04:00,Tuesday,Pool Report Schedule,"The President arrives at the Horizon Events Center in Clive, IA for a political rally [Local: 4:04 PM]","Horizon Events Center, Clive, IA",In-Town Pool,,,,
1/27/2026,18:25:00,Tuesday,Pool Report Schedule,The President departs the Horizon Events Center for Des Moines International Airport [Local: 5:25 PM],"Horizon Events Center, Clive, IA",In-Town Pool,,,,
1/27/2026,18:50:00,Tuesday,Pool Report Schedule,The President arrives at Des Moines International Airport [Local: 5:50 PM],Des Moines International Airport,In-Town Pool,,,,
1/27/2026,19:03:00,Tuesday,Pool Report Schedule,The President departs Des Moines International Airport for Joint Base Andrews [Local: 6:03 PM],Des Moines International Airport,In-Town Pool,,,,
1/27/2026,20:39:00,Tuesday,Pool Report Schedule,The President arrives at Joint Base Andrews,Joint Base Andrews,In-Town Pool,,,,
1/27/2026,20:58:00,Tuesday,Pool Report Schedule,The President departs Joint Base Andrews for the White House,Joint Base Andrews,In-Town Pool,,,,
1/27/2026,21:10:00,Tuesday,Pool Report Schedule,The President arrives at the White House,South Lawn,In-Town Pool,,,,
1/27/2026,21:17:00,Tuesday,Pool Report Schedule,White House Press Office: Full lid called,South Lawn,In-Town Pool,,,,
1/27/2026,23:00:00,Tuesday,President Schedule,The President conducts a short phone interview with Rachel Scott of ABC News [Note: time is approximate],The White House,Closed Press,,,,
1/26/2026,11:52:00,Monday,Pool Report Schedule,White House Press Office: Lunch lid until 12:45 PM ,The White House,,,,,
1/26/2026,13:00:00,Monday,Briefing Schedule,Press Briefing by Press Secretary Karoline Leavitt,James S. Brady Press Briefing Room,On Camera,,https://rollcall.com/factbase/trump/transcript/donald-trump-press-conference-briefing-karoline-leavitt-january-26-2026/,,
1/26/2026,13:00:00,Monday,President Schedule,The President participates in a Meeting with the Secretary of the Air Force,Oval Office,Closed Press,,,,
1/26/2026,14:30:00,Monday,President Schedule,The President participates in a Policy Meeting,Oval Office,Closed Press,,,,
1/26/2026,15:00:00,Monday,President Schedule,The President participates in a Policy Meeting,Oval Office,Closed Press,,,,
1/26/2026,16:30:00,Monday,President Schedule,The President participates in a Radio Interview,Oval Office,Closed Press,,,,
1/26/2026,18:02:00,Monday,Pool Report Schedule,White House Press Office: Full lid called,The White House,,,,,
1/25/2026,,Sunday,President Schedule,The President has no public events scheduled,The White House,,,,Array,
1/25/2026,12:41:00,Sunday,Pool Report Schedule,White House Press Office: Full lid called,The White House,,,,,
1/25/2026,14:00:00,Sunday,Pool Report Schedule,The President conducts a five-minute phone interview with Josh Dawsey of The Wall Street Journal,The White House,,,https://rollcall.com/factbase/trump/transcript/donald-trump-interview-no-transcript-josh-dawsey-wall-street-journal-january-25-2025/,,
1/24/2026,17:10:00,Saturday,Pool Report Schedule,White House Press Office: Full lid called,The White House,,,,,
1/24/2026,20:00:00,Saturday,President Schedule,"The President and First Lady host a Screening of the film ""Melania""",The White House,In-Town Pool,,,,
1/23/2026,11:44:00,Friday,Pool Report Schedule,White House Press Office: Lunch lid until 12:30 PM ,The White House,,,,,
1/23/2026,13:30:00,Friday,President Schedule,"The President participates in a Print Interview [Note: Interview with Steven Nelson, Emily Goodin, Marisa Schultz, and Joel Pollak of the New York Post]",Oval Office,Closed Press,,https://rollcall.com/factbase/trump/transcript/donald-trump-interview-no-transcript-steven-nelson-et-al-new-york-post-january-23-2026/,,
1/23/2026,15:00:00,Friday,President Schedule,The President signs Congressional Bills,Oval Office,Closed Press,,,,
1/23/2026,16:30:00,Friday,President Schedule,The President participates in a meeting with the Commissioner of the U.S. Social Security Administration,Oval Office,Closed Press,,,,
1/23/2026,17:30:00,Friday,President Schedule,The President participates in policy time,Oval Office,Closed Press,,,,
1/23/2026,18:02:00,Friday,Pool Report Schedule,White House Press Office: Full lid called,The White House,,,,,
1/22/2026,,Thursday,President Schedule,"TBD: The President departs Davos, Switzerland, en route The White House","Davos Congress Centre, Switzerland",Out-of-Town Pool,,,Array,Array
1/22/2026,4:30:00,Thursday,President Schedule,The President participates in the Board of Peace Charter Announcement [10:30 AM Local],"Davos Congress Centre, Switzerland",Pre-Credentialed Media,,https://rollcall.com/factbase/trump/transcript/donald-trump-remarks-board-of-peace-charter-meeting-davos-january-22-2026/,Array,
1/22/2026,4:33:00,Thursday,Pool Report Schedule,The President departs his hotel for the Davos Congress Centre [Local: 10:33 AM],"AlpenGold Hotel, Davos, Switzerland",,,,Array,
1/22/2026,4:42:00,Thursday,Pool Report Schedule,The President arrives at the Davos Congress Center [Local: 10:42 AM],"Davos Congress Centre, Switzerland",,,,Array,
1/22/2026,6:30:00,Thursday,Pool Report Schedule,Maria Bartiromo of Fox Business records an interview with The President in Davos [Note: Time is approximate] [Local: 12:30 PM],"Davos Congress Centre, Switzerland",,,https://rollcall.com/factbase/trump/transcript/donald-trump-interview-maria-bartiromo-fox-business-davos-january-22-2026/,Array,
1/22/2026,6:55:00,Thursday,Pool Report Schedule,"The President holds a bilateral meeting with lham Aliyev, President of Azerbaijan [Local: 12:55 PM]","Davos Congress Centre, Switzerland",,,,Array,
1/22/2026,8:00:00,Thursday,Pool Report Schedule,"The President holds a bilateral meeting with Volodymyr Zelenskyy, President of Ukraine [Note: Time is approximate] [Local: 2:00 PM]","Davos Congress Centre, Switzerland",,,,Array,
1/22/2026,9:20:00,Thursday,Pool Report Schedule,The President holds a brief press gaggle prior to departing the Davos Congress Center [Local: 3:20 PM],"Davos Congress Centre, Switzerland",,,https://rollcall.com/factbase/trump/transcript/donald-trump-press-gaggle-after-bilat-zelenskyy-ukraine-davos-january-22-2026/,Array,
1/22/2026,9:25:00,Thursday,Pool Report Schedule,The President departs the Davos Congress Centre for Zurich Airport by car due to weather [Local: 3:25 PM],"Davos Congress Centre, Switzerland",,,,Array,
1/22/2026,11:16:00,Thursday,Pool Report Schedule,The President arrives at Zurich Airport [Local: 5:16 PM],Zurich Airport,,,,Array,
1/22/2026,11:37:00,Thursday,Pool Report Schedule,The President departs Zurich Airport for Joint Base Andrews [Local: 5:37 PM],Zurich Airport,,,https://rollcall.com/factbase/trump/transcript/donald-trump-press-gaggle-air-force-one-january-22-2026/,Array,
1/22/2026,13:24:00,Thursday,Pool Report Schedule,"The President arrives at Shannon, Ireland for a technical refueling stop [6:23 PM Local]","Shannon Airport, Ireland",,,,Array,
1/22/2026,14:38:00,Thursday,Pool Report Schedule,"The President departs a technical refueling stop in Shannon, Ireland for Joint Base Andrews [7:38 PM Local]","Shannon Airport, Ireland",,,,Array,
1/22/2026,21:30:00,Thursday,Pool Report Schedule,The President arrives at Joint Base Andrews,Joint Base Andrews,,,https://rollcall.com/factbase/trump/transcript/donald-trump-remarks-after-air-force-one-arrival-january-22-2026/,,
1/22/2026,21:47:00,Thursday,Pool Report Schedule,The President departs Joint Base Andrews for the White House,Joint Base Andrews,,,,,
1/22/2026,21:57:00,Thursday,Pool Report Schedule,The President arrives at the White House,South Lawn,,,,,
1/22/2026,22:04:00,Thursday,Pool Report Schedule,White House Press Office: Full lid called,The White House,,,,,
1/21/2026,0:05:00,Wednesday,Pool Report Schedule,The President departs on a different plane from Joint Base Andrews to Zurich Airport,Joint Base Andrews,,,,Array,
1/21/2026,6:35:00,Wednesday,Pool Report Schedule,The President arrives at Zurich Airport [12:35 PM Local],Zurich Airport,,,,Array,
1/21/2026,7:19:00,Wednesday,Pool Report Schedule,The President departs Zurich Airport for Davos [1:17 PM Local],Zurich Airport,,,,Array,
1/21/2026,7:57:00,Wednesday,Pool Report Schedule,"The President arrives in Davos, Switzerland [1:57 PM Local]","Davos Stilli Heliport, Switzerland",,,,Array,
1/21/2026,8:10:00,Wednesday,President Schedule,The President participates in a Greeting with World Economic Forum Leadership [2:10 PM Local],"Davos Congress Centre, Switzerland",Closed Press,,,Array,
1/21/2026,8:20:00,Wednesday,Pool Report Schedule,The President arrives at the Davos Congress Center [2:20 PM Local],"Davos Stilli Heliport, Switzerland",,,,Array,
1/21/2026,8:30:00,Wednesday,President Schedule,The President delivers a Special Address to the World Economic Forum [2:30 PM Local],"Davos Congress Centre, Switzerland",Out-of-Town Travel Pool,,https://rollcall.com/factbase/trump/transcript/donald-trump-speech-world-economic-forum-davos-january-21-2026/,Array,
1/21/2026,9:45:00,Wednesday,President Schedule,"The President participates in Meetings with Foreign Leaders - Poland, Belgium and Egpyt per pool reports [3:45 PM Local]","Davos Congress Centre, Switzerland",Closed Press,,,Array,
1/21/2026,10:29:00,Wednesday,Pool Report Schedule,"The President holds a bilateral meeting with Guy Parmelin, President of Switzerland [4:29 PM Local]","Davos Congress Centre, Switzerland",Closed Press,,https://rollcall.com/factbase/trump/transcript/donald-trump-remarks-bilat-guy-parmelin-switzerland-davos-january-21-2026/,Array,
1/21/2026,11:25:00,Wednesday,President Schedule,The President participates in a Reception with Business Leaders [5:25 PM Local],"Davos Congress Centre, Switzerland",Out-of-Town Travel Pool,,https://rollcall.com/factbase/trump/transcript/donald-trump-remarks-reception-business-leaders-davos-january-21-2026/,Array,
1/21/2026,11:34:00,Wednesday,Pool Report Schedule,"The President holds a bilateral meeting with Abdel Fattah el-Sisi, President of Egypt [5:34 PM Local]","Davos Congress Centre, Switzerland",Closed Press,,https://rollcall.com/factbase/trump/transcript/donald-trump-remarks-bilat-el-sisi-egypt-davos-january-21-2026/,Array,
1/21/2026,13:21:00,Wednesday,Pool Report Schedule,"The President holds a bilateral meeting with Mark Rutte, Secretary General of NATO [7:21 PM Local]","Davos Congress Centre, Switzerland",Closed Press,,https://rollcall.com/factbase/trump/transcript/donald-trump-remarks-bilat-rutte-nato-davos-january-21-2026/,Array,
1/21/2026,14:50:00,Wednesday,Pool Report Schedule,The President sits for an interview with Joe Kernan on CNBC [8:50 PM Local] [Note time is approximate],"Davos Congress Centre, Switzerland",Out-of-Town Travel Pool,,https://rollcall.com/factbase/trump/transcript/donald-trump-interview-joe-kernen-cnbc-the-exchange-january-21-2026/,Array,
1/21/2026,15:14:00,Wednesday,Pool Report Schedule,The President departs the Davos Congress Centre for his hotel [9:14 PM Local],"Davos Congress Centre, Switzerland",Closed Press,,https://rollcall.com/factbase/trump/transcript/donald-trump-press-gaggle-davos-congress-center-departure-january-21-2026/,Array,
1/21/2026,15:26:00,Wednesday,Pool Report Schedule,The President arrives at his hotel for the evening [9:26 PM Local],"AlpenGold Hotel, Davos, Switzerland",Closed Press,,,Array,
1/21/2026,15:31:00,Wednesday,Pool Report Schedule,"White House Press Office: Full lid called for January 20, 2026 and January 21, 2026","AlpenGold Hotel, Davos, Switzerland",Closed Press,,,Array,
1/20/2026,,Tuesday,President Schedule,"TBD: The President departs The White House en route Davos, Switzerland",Joint Base Andrews,Out-of-Town Pool,,,Array,
1/20/2026,1:38:00,Tuesday,Pool Report Schedule,The President arrives at Joint Base Andrews,Joint Base Andrews,,,,,
1/20/2026,2:01:00,Tuesday,Pool Report Schedule,The President departs Joint Base Andrews for the White House,Joint Base Andrews,,,,,
1/20/2026,2:10:00,Tuesday,Pool Report Schedule,The President arrives at the White House,South Lawn,,,,,
1/20/2026,2:17:00,Tuesday,Pool Report Schedule,"White House Press Office: Full lid called for January 19, 2026",The White House,,,,,
1/20/2026,11:38:00,Tuesday,Pool Report Schedule,White House Press Office: Lunch lid until 12:30 PM,The White House,In-Town Pool,,,,
1/20/2026,13:00:00,Tuesday,Briefing Schedule,Press Briefing by Press Secretary Karoline Leavitt [Note: The President is leading the briefing],James S. Brady Press Briefing Room,Out-of-Town Travel Pool,,https://rollcall.com/factbase/trump/transcript/donald-trump-press-conference-briefing-room-january-20-2026/,,
1/20/2026,15:00:00,Tuesday,President Schedule,The President participates in Signing Time [Note: previous meeting did not end until 3:33 PM],Oval Office,Closed Press,,,,
1/20/2026,17:36:00,Tuesday,Pool Report Schedule,White House Press Office: Dinner lid until 8:00 PM,The White House,In-Town Pool,,,,
1/20/2026,21:19:00,Tuesday,Pool Report Schedule,The President departs the White House for Joint Base Andrews,South Lawn,In-Town Pool,,,,
1/20/2026,21:29:00,Tuesday,Pool Report Schedule,The President arrives at Joint Base Andrews,Joint Base Andrews,,,,,
1/20/2026,21:46:00,Tuesday,Pool Report Schedule,The President departs Joint Base Andrews for Zurich Airport,Joint Base Andrews,,,,,
1/20/2026,22:14:00,Tuesday,Pool Report Schedule,"Air Force One turns around south of Long Island, New York, to return to Joint Base Andrews due to a ""minor"" electrical issue",Joint Base Andrews,,,,,
1/20/2026,23:07:00,Tuesday,Pool Report Schedule,The President arrives at Joint Base Andrews to change planes,Joint Base Andrews,,,,,
1/19/2026,,Monday,President Schedule,"TBD: The President departs Palm Beach, FL en route Miami, FL",Mar-a-Lago,Out-of-Town Travel Pool,,,Array,
1/19/2026,,Monday,President Schedule,"TBD: The President departs Miami, FL en route The White House ",Mar-a-Lago,Out-of-Town Travel Pool,,,,
1/19/2026,18:15:00,Monday,Pool Report Schedule,The President departs Mar-a-Lago for Palm Beach International Airport,Mar-a-Lago,,,,,
1/19/2026,18:25:00,Monday,Pool Report Schedule,The President arrives at Palm Beach International Airport,Palm Beach International Airport,,,,,
1/19/2026,18:30:00,Monday,Pool Report Schedule,The President departs Palm Beach International Airport for North Perry Airport,Palm Beach International Airport,,,,,
1/19/2026,19:03:00,Monday,Pool Report Schedule,The President arrives at North Perry Airport,"North Perry Airport, Pembroke Pines, FL",,,,,
1/19/2026,19:08:00,Monday,Pool Report Schedule,The President departs North Perry Airport for Hard Rock Stadium,"North Perry Airport, Pembroke Pines, FL",,,,,
1/19/2026,19:18:00,Monday,Pool Report Schedule,The President arrives at Hard Rock Stadium to attend the College Football National Championship Game,"Hard Rock Stadium, Miami Gardens, FL",,,,,
1/19/2026,19:50:00,Monday,President Schedule,The President attends the College Football National Championship Game,"Hard Rock Stadium, Miami Gardens, FL",,,,,
1/19/2026,22:47:00,Monday,Pool Report Schedule,The President departs Hard Rock Stadium for North Perry Airport,"Hard Rock Stadium, Miami Gardens, FL",,,,,
1/19/2026,22:54:00,Monday,Pool Report Schedule,The President arrives at North Perry Airport,"North Perry Airport, Pembroke Pines, FL",,,,,
1/19/2026,23:02:00,Monday,Pool Report Schedule,The President departs North Perry Airport for Palm Beach International Airport,"North Perry Airport, Pembroke Pines, FL",,,,,
1/19/2026,23:35:00,Monday,Pool Report Schedule,The President arrives at Palm Beach International Airport [Note: Estimated time],Palm Beach International Airport,,,https://rollcall.com/factbase/trump/transcript/donald-trump-press-gaggle-before-air-force-one-departure-january-19-2026/,,
1/19/2026,23:59:00,Monday,Pool Report Schedule,The President departs Palm Beach International Airport for Joint Base Andrews,Palm Beach International Airport,,,,,
1/18/2026,,Sunday,President Schedule,The President has no public events scheduled,Mar-a-Lago,Out-of-Town Travel Pool,,,Array,
1/18/2026,9:01:00,Sunday,Pool Report Schedule,The President departs Mar-a-Lago for his golf club,Mar-a-Lago,,,,,
1/18/2026,9:08:00,Sunday,Pool Report Schedule,The President arrives at Trump International Golf Club West Palm Beach,Trump International Golf Club West Palm Beach,,,,Array,
1/18/2026,14:38:00,Sunday,Pool Report Schedule,The President departs Trump International Golf Club West Palm Beach,Trump International Golf Club West Palm Beach,,,,Array,
1/18/2026,14:46:00,Sunday,Pool Report Schedule,The President makes a stop at Baer's Furniture in West Palm Beach,"Baer's Furniture, West Palm Beach, FL",,,,,
1/18/2026,14:55:00,Sunday,Pool Report Schedule,The President departs Baer's Furniture for Mar-a-Lago,"Baer's Furniture, West Palm Beach, FL",,,,,
1/18/2026,15:05:00,Sunday,Pool Report Schedule,The President arrives at Mar-a-Lago,Mar-a-Lago,,,,,
1/18/2026,15:15:00,Sunday,Pool Report Schedule,White House Press Office: Lunch lid until 5:40 PM,Mar-a-Lago,,,,,
1/18/2026,15:45:00,Sunday,Pool Report Schedule,White House Press Office: Full lid called,Mar-a-Lago,,,,,
1/18/2026,16:15:00,Sunday,Pool Report Schedule,"Donald Trump replies to a text message from Jonas Gahr Støre, Prime Minister of Norway",Mar-a-Lago,,,https://rollcall.com/factbase/trump/transcript/donald-trump-remarks-text-exchange-norway-greenland-january-18-2026/,,
1/17/2026,9:16:00,Saturday,Pool Report Schedule,The President departs Mar-a-Lago for his golf club,Mar-a-Lago,,,,,
1/17/2026,9:25:00,Saturday,Pool Report Schedule,The President arrives at Trump International Golf Club West Palm Beach,Trump International Golf Club West Palm Beach,,,,Array,
1/17/2026,15:04:00,Saturday,Pool Report Schedule,The President departs Trump International Golf Club West Palm Beach for Mar-a-Lago,Trump International Golf Club West Palm Beach,,,,Array,
1/17/2026,15:12:00,Saturday,Pool Report Schedule,The President arrives at Mar-a-Lago,Mar-a-Lago,,,,,
1/17/2026,15:30:00,Saturday,President Schedule,The President participates in a meeting with the Prime Minister of the Slovak Republic,Mar-a-Lago,Out-of-Town Travel Pool,,,,
1/17/2026,17:14:00,Saturday,Pool Report Schedule,White House Press Office: Full lid called,Mar-a-Lago,,,,,
1/16/2026,,Friday,President Schedule,"TBD: The President departs The White House en route Palm Beach, FL",The White House,Out-of-Town Travel Pool,,,Array,
1/16/2026,10:00:00,Friday,President Schedule,"The President participates in The Great, Historic Investment in Rural Health Roundtable [Actual: 10:17 AM]",East Room,Pre-Credentialed Media,,https://rollcall.com/factbase/trump/transcript/donald-trump-remarks-rural-health-roundtable-january-31-2026/,,
1/16/2026,12:51:00,Friday,Pool Report Schedule,The President departs the White House for Joint Base Andrews,The White House,In-Town Pool,,https://rollcall.com/factbase/trump/transcript/donald-trump-press-gaggle-before-marine-one-departure-january-16-2026/,,
1/16/2026,12:58:00,Friday,Pool Report Schedule,The President arrives at Joint Base Andrews,Joint Base Andrews,In-Town Pool,,,,
1/16/2026,13:15:00,Friday,Pool Report Schedule,The President departs Joint Base Andrews for Palm Beach International Airport,Joint Base Andrews,In-Town Pool,,,,
1/16/2026,15:08:00,Friday,Pool Report Schedule,The President arrives at Palm Beach International Airport,Palm Beach International Airport,In-Town Pool,,,,
1/16/2026,15:15:00,Friday,President Schedule,The President participates in the Southern Boulevard Dedication Ceremony [Actual: 3:36 PM],"Palm Beach, FL",Out-of-Town Travel Pool,,https://rollcall.com/factbase/trump/transcript/donald-trump-remarks-southern-boulevard-dedication-ceremony-january-16-2026/,,
1/16/2026,15:21:00,Friday,Pool Report Schedule,The President departs Palm Beach International Airport for Mar-a-Lago,Palm Beach International Airport,In-Town Pool,,,,
1/16/2026,15:31:00,Friday,Pool Report Schedule,The President arrives at Mar-a-Lago,Mar-a-Lago,In-Town Pool,,,,
1/16/2026,16:39:00,Friday,Pool Report Schedule,White House Press Office: Full lid called,Mar-a-Lago,,,,,
1/15/2026,10:45:00,Thursday,Pool Report Schedule,Kristi Noem briefs reporters at The Sticks,The Sticks - The White House,,,https://rollcall.com/factbase/trump/transcript/donald-trump-press-briefing-kristi-noem-the-white-house-january-15-2026/,,
1/15/2026,11:00:00,Thursday,President Schedule,The President receives his Intelligence Briefing,Oval Office,Closed Press,,,,
